GRID_CODE,POINT_X,POINT_Y,NLCD,UPPERL_X,UPPERL_Y,X_Ind,Y_Ind_Flip,Y_Ind,X_Ext,Y_Ext
562,747384.9389,4306867.91,OW,747385,4306868,385,868,131,747000,4306000
563,747372.2291,4306852.41,OW,747372,4306852,372,852,147,747000,4306000
564,747365.7192,4306840.32,OW,747366,4306840,366,840,159,747000,4306000
565,747351.4594,4306835.36,OW,747351,4306835,351,835,164,747000,4306000
566,747334.0997,4306840.63,OW,747334,4306841,334,841,158,747000,4306000
567,747346.8095,4306851.17,OW,747347,4306851,347,851,148,747000,4306000
568,747361.6892,4306862.02,OW,747362,4306862,362,862,137,747000,4306000
569,747369.7491,4306873.8,OW,747370,4306874,370,874,125,747000,4306000
570,747359.5193,4306885.889,OW,747360,4306886,360,886,113,747000,4306000
571,747351.1494,4306872.56,OW,747351,4306873,351,873,126,747000,4306000
572,747334.4097,4306876.59,OW,747334,4306877,334,877,122,747000,4306000
573,747342.7796,4306892.089,OW,747343,4306892,343,892,107,747000,4306000
574,747316.12,4306865.74,OW,747316,4306866,316,866,133,747000,4306000
575,747311.7801,4306881.549,OW,747312,4306882,312,882,117,747000,4306000
576,747302.4802,4306893.639,OW,747302,4306894,302,894,105,747000,4306000
577,747291.0104,4306905.419,OW,747291,4306905,291,905,94,747000,4306000
578,747280.7806,4306920.299,OW,747281,4306920,281,920,79,747000,4306000
579,747267.1408,4306927.119,OW,747267,4306927,267,927,72,747000,4306000
580,747246.3712,4306897.669,OW,747246,4306898,246,898,101,747000,4306000
581,747256.601,4306886.509,OW,747257,4306887,257,887,112,747000,4306000
